"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C14,C2,C11,C4,C5,C1,C9,C13,C12,C8,C3,C10";"C_0402";12;"100n";;;
2;"R1";"R_0402";1;"10k";;;
3;"R8,R7";"R_0402";2;"3k3";;;
4;"J2";"TC2030-IDC-NL";1;"TC2030-IDC-NL";;;
5;"SW1,SW2";"TS02-66-Series";2;"PTS815";;;
6;"R3,R4";"R_0402";2;"27R";;;
7;"R2";"R_0402";1;"1k";;;
8;"Y1";"Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm";1;"CSTNE12M0GH5L000R0";;;
9;"U5";"Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad";1;"SHT40-AD1B";;;
10;"R9";"R_0402";1;"1M";;;
11;"R5,R6";"R_0402";2;"5k1";;;
12;"J3";"USB_C_Receptacle_MidMnt_Molex_16_Contact_216990-0001";1;"USB_C_Receptacle_Molex_216990-0001";;;
13;"C6,C7";"C_0402";2;"2u2";;;
14;"U3";"VQFN-12-1EP_2.5x2.5mm_P0.5mm";1;"TPS63051";;;
15;"C17,C15,C16";"C_0805";3;"10u";;;
16;"C18";"C_0402";1;"1n";;;
17;"U2";"USON_2x3x0.6mm";1;"W25Q16JV";;;
18;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
19;"L1";"L_3.2x2.5";1;"1u5";;;
20;"J1,J4";"PinHeader_1x20_P2.54mm_Vertical";2;"1x20";;;
